"pressure_def","Type","csqueeze","fut_csqueeze","fut_barriers","sed_supp","fut_dams","fut_slr","ant_slr","fut_gwsub","gwsub","fut_drought","fut_ext_rain","storms","hist_drought","hist_ext_rain","Tidal_Class","fut_storms","prop_estab","sea_net_change","land_net_change","climate","land_net_change_obs","sea_net_change_obs","csqueeze_1","fut_csqueeze_1","cdev","fut_cdev","Geomorphology"
1,"Delta_70011","L","L","High","H","H",1,1,1,1,0,1,0,0,0,"H",0,"H","Loss","Loss","humid",-1,-1,1,1,"High","High","Delta"
1,"Delta_70012","L","L","High","H","H",1,1,1,1,0,1,0,0,0,"H",0,"H","Loss","Loss","humid",-1,-1,1,1,"High","High","Delta"
1,"Delta_70013","H","H","Low","H","H",0,1,0,1,0,1,1,0,0,"H",0,"H","Gain_neutrality","Gain_neutrality","humid",1,1,1,1,"Low","Low","Delta"
1,"Delta_70014","H","H","Low","H","L",0,1,0,1,0,1,1,0,1,"H",0,"H","Gain_neutrality","Gain_neutrality","humid",1,1,1,1,"Low","Low","Delta"
1,"Delta_8735","M","M","Medium","H","H",1,1,1,1,1,0,1,1,1,"H",1,"M","Gain_neutrality","Loss","humid",-1,1,1,1,"Medium","Medium","Delta"
1,"Delta_8736","M","M","Medium","H","L",1,1,1,1,1,0,0,0,0,"M",0,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"Medium","Medium","Delta"
1,"Delta_8740","L","L","High","H","H",1,1,1,1,1,0,1,1,0,"M",1,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"High","High","Delta"
1,"Delta_8742","H","M","Medium","H","H",1,1,1,1,0,0,1,0,1,"H",1,"H","Loss","Loss","humid",-1,-1,1,1,"Low","Medium","Delta"
1,"Delta_8746","L","L","High","L","L",0,0,1,1,0,1,1,1,1,"H",1,"M","Loss","Loss","humid",-1,-1,1,1,"High","High","Delta"
1,"Delta_8747","M","M","Medium","H","L",0,1,0,1,0,1,0,0,1,"M",0,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"Medium","Low","Delta"
1,"Delta_8748","L","L","High","H","H",0,0,1,1,0,1,1,1,1,"H",1,"H","Loss","Loss","humid",-1,-1,1,1,"High","High","Delta"
1,"Delta_8749","M","L","High","H","L",1,1,0,1,0,1,0,0,0,"H",0,"H","Loss","Loss","humid",-1,-1,1,1,"Medium","High","Delta"
1,"Delta_8750","M","M","Medium","H","H",1,1,1,1,1,0,1,1,1,"H",1,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"Medium","Medium","Delta"
1,"Delta_8757","M","M","Medium","H","H",1,1,1,1,1,0,0,1,1,"H",1,"M","Gain_neutrality","Loss","humid",-1,1,1,1,"Medium","Medium","Delta"
1,"Delta_8760","L","L","High","L","L",0,0,1,1,0,1,1,1,1,"H",1,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"High","High","Delta"
1,"Delta_8761","L","L","High","L","L",1,1,1,1,1,0,1,1,1,"H",1,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"High","High","Delta"
1,"Delta_8762","L","L","High","H","L",0,1,1,1,0,1,0,0,0,"H",0,"H","Gain_neutrality","Loss","arid",-1,1,1,1,"High","High","Delta"
1,"Delta_8763","L","L","High","H","H",0,0,1,1,0,1,1,1,0,"H",1,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"High","High","Delta"
1,"Delta_8764","M","M","Medium","H","H",0,1,1,1,0,1,0,1,1,"H",0,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"Medium","Medium","Delta"
1,"Delta_8765","L","L","High","L","L",0,1,1,1,0,1,1,1,0,"H",1,"H","Loss","Loss","arid",-1,-1,1,1,"High","High","Delta"
1,"Delta_8766","L","L","High","H","H",0,1,1,1,0,1,1,0,1,"H",1,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"High","High","Delta"
1,"Delta_8767","L","L","High","H","H",1,1,1,1,0,1,0,1,1,"H",0,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"High","Medium","Delta"
1,"Delta_8769","H","H","Low","H","L",0,1,0,1,0,1,1,0,0,"M",1,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"Low","Low","Delta"
1,"Delta_8770","M","M","Medium","H","H",0,0,1,1,0,1,1,1,1,"H",1,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"Medium","Low","Delta"
1,"Delta_8771","L","L","High","H","H",0,1,1,1,0,1,1,0,1,"M",0,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"High","High","Delta"
1,"Delta_8772","L","L","High","H","L",1,0,1,1,1,0,0,1,0,"M",1,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"High","High","Delta"
1,"Delta_8775","L","L","High","L","L",0,0,1,1,0,1,1,0,1,"H",1,"H","Gain_neutrality","Loss","arid",-1,1,1,1,"High","High","Delta"
1,"Delta_8776","M","M","Medium","H","H",0,0,1,1,0,0,1,1,1,"H",1,"H","Gain_neutrality","Gain_neutrality","humid",1,1,1,1,"Medium","Low","Delta"
1,"Delta_8779","L","L","High","H","L",1,1,1,1,1,0,1,1,1,"H",1,"H","Loss","Loss","arid",-1,-1,1,1,"High","High","Delta"
1,"Delta_8780","M","M","Medium","H","H",1,1,1,1,1,0,1,1,0,"M",1,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"Medium","Low","Delta"
1,"Delta_8781","M","M","Medium","H","H",0,1,1,1,0,1,0,1,1,"H",0,"H","Loss","Loss","humid",-1,-1,1,1,"Medium","Medium","Delta"
1,"Delta_8782","L","L","High","H","H",0,0,1,1,0,0,1,1,1,"H",1,"L","Gain_neutrality","Loss","humid",-1,1,1,1,"High","High","Delta"
1,"Delta_8783","M","M","Medium","H","H",1,1,1,1,1,0,1,1,0,"M",1,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"Medium","Medium","Delta"
1,"Delta_8784","M","M","Medium","H","H",1,0,1,1,1,0,1,1,1,"M",1,"H","Loss","Loss","arid",-1,-1,1,1,"Medium","Medium","Delta"
1,"Delta_8785","L","L","High","H","H",0,0,1,1,0,1,1,1,1,"H",0,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"High","High","Delta"
1,"Delta_8786","L","L","High","L","L",0,0,1,1,0,1,1,0,0,"H",1,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"High","High","Delta"
1,"Delta_8787","L","L","High","H","H",1,1,1,1,1,0,1,1,1,"M",1,"H","Loss","Loss","humid",-1,-1,1,1,"High","High","Delta"
1,"Delta_8788","M","M","Medium","H","H",1,1,1,1,0,1,1,1,0,"H",1,"M","Gain_neutrality","Loss","humid",-1,1,1,1,"Medium","Medium","Delta"
1,"Delta_8795","M","M","Medium","H","L",1,1,0,0,0,1,0,1,1,"H",0,"H","Loss","Loss","humid",-1,-1,1,1,"Medium","Medium","Delta"
1,"Delta_8799","L","L","High","H","H",1,1,1,1,1,0,1,1,1,"H",0,"M","Gain_neutrality","Loss","humid",-1,1,1,1,"High","High","Delta"
1,"Delta_8801","L","L","High","H","H",1,1,1,1,0,1,1,1,1,"H",1,"L","Loss","Loss","humid",-1,-1,1,1,"High","High","Delta"
1,"Delta_8802","M","M","Medium","H","H",1,0,1,1,1,0,0,0,0,"M",1,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"Medium","Low","Delta"
1,"Delta_8805","M","L","High","L","L",0,1,0,1,0,1,1,1,1,"M",0,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"Medium","High","Delta"
1,"Delta_8808","L","L","High","H","L",1,1,0,1,0,1,0,1,0,"H",0,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"High","High","Delta"
1,"Delta_8809","L","L","High","L","L",1,0,1,1,1,0,1,1,1,"H",1,"L","Loss","Loss","arid",-1,-1,1,1,"High","High","Delta"
1,"Delta_8810","M","M","Medium","L","L",1,1,1,1,0,1,0,0,0,"M",0,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"Medium","Medium","Delta"
1,"Delta_8811","M","M","Medium","H","H",0,0,1,1,0,1,1,1,1,"H",1,"H","Gain_neutrality","Loss","arid",-1,1,1,1,"Medium","Medium","Delta"
1,"Delta_8812","M","M","Medium","H","H",0,0,1,1,0,1,1,1,1,"H",1,"M","Gain_neutrality","Loss","arid",-1,1,1,1,"Medium","Medium","Delta"
1,"Delta_8813","M","M","Medium","L","L",1,1,1,1,0,0,1,1,1,"M",1,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"Medium","Medium","Delta"
1,"Delta_8814","M","M","Medium","H","H",1,1,0,1,0,0,1,1,1,"M",1,"H","Loss","Loss","humid",-1,-1,1,1,"Medium","Medium","Delta"
1,"Delta_8815","L","L","High","H","H",1,0,1,1,1,0,1,1,0,"H",1,"H","Loss","Gain_neutrality","arid",1,-1,1,1,"High","High","Delta"
1,"Delta_8816","L","L","High","H","H",0,1,1,1,0,1,1,1,1,"L",1,"H","Gain_neutrality","Gain_neutrality","humid",1,1,1,1,"High","High","Delta"
1,"Delta_8817","H","H","Low","H","H",0,1,0,1,0,1,0,1,1,"M",0,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"Low","Low","Delta"
1,"Delta_8818","M","M","Medium","H","L",0,1,1,1,0,1,0,1,1,"M",0,"H","Loss","Loss","humid",-1,-1,1,1,"Medium","Medium","Delta"
1,"Delta_8819","M","M","Medium","H","H",1,1,1,1,1,0,0,1,0,"H",0,"H","Loss","Loss","humid",-1,-1,1,1,"Medium","Medium","Delta"
1,"Delta_8820","L","L","High","H","H",0,1,1,1,0,1,1,1,1,"M",0,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"High","High","Delta"
1,"Delta_8821","M","M","Medium","H","L",1,0,1,1,1,0,1,1,1,"M",1,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"Medium","Low","Delta"
1,"Delta_8822","M","L","High","L","L",1,0,1,1,1,0,1,1,0,"H",1,"M","Gain_neutrality","Loss","arid",-1,1,1,1,"Medium","High","Delta"
1,"Delta_8824","L","L","High","H","H",1,0,1,1,0,0,0,1,1,"H",0,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"High","High","Delta"
1,"Delta_8825","M","M","Medium","L","L",1,1,0,1,0,1,0,0,1,"H",0,"H","Loss","Loss","humid",-1,-1,1,1,"Medium","Medium","Delta"
1,"Delta_8826","M","M","Medium","H","L",1,1,1,1,1,0,1,0,0,"H",1,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"Medium","Low","Delta"
1,"Delta_8827","M","M","Medium","H","H",1,1,1,1,1,0,1,1,1,"H",1,"H","Loss","Loss","humid",-1,-1,1,1,"Medium","Low","Delta"
1,"Delta_8828","M","M","Medium","H","H",1,1,1,1,0,1,0,1,1,"H",0,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"Medium","Low","Delta"
1,"Delta_8830","L","L","High","L","L",1,0,1,1,0,1,0,0,1,"H",0,"H","Loss","Loss","humid",-1,-1,1,1,"High","High","Delta"
1,"Delta_8831","M","M","Medium","H","H",1,1,1,1,0,1,0,1,1,"M",0,"H","Gain_neutrality","Loss","arid",-1,1,1,1,"Medium","Medium","Delta"
1,"Delta_8832","L","L","High","H","H",0,0,1,1,0,1,1,1,1,"H",0,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"High","High","Delta"
1,"Delta_8834","M","L","High","L","L",1,1,1,1,1,0,1,1,0,"M",1,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"Medium","High","Delta"
1,"Delta_8835","M","L","High","H","L",0,0,0,1,0,0,1,1,1,"M",1,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"Medium","High","Delta"
1,"Delta_8836","L","L","High","H","L",0,0,1,1,0,1,1,1,0,"H",1,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"High","High","Delta"
1,"Estuary_10","L","L","High","L","L",0,1,1,1,1,0,0,1,1,"H",1,"L","Gain_neutrality","Loss","arid",-1,1,1,1,"High","High","Estuary"
1,"Estuary_1005","H","H","Low","L","L",1,0,0,0,0,1,1,0,1,"M",1,"M","Loss","Loss","humid",-1,-1,1,0,"Low","None","Estuary"
1,"Estuary_10082","L","L","High","L","L",0,1,1,1,1,0,0,1,0,"H",1,"M","Gain_neutrality","Gain_neutrality","arid",1,1,1,1,"High","High","Estuary"
1,"Estuary_10089","H","H","Low","L","L",1,1,1,1,0,0,0,1,0,"H",1,"L","Gain_neutrality","Loss","humid",-1,1,1,1,"Low","Low","Estuary"
1,"Estuary_10099","H","H","Low","L","L",1,1,0,0,0,0,0,1,0,"H",1,"L","Gain_neutrality","Loss","humid",-1,1,1,1,"Low","Low","Estuary"
1,"Estuary_1010","H","H","Low","L","L",1,0,0,1,0,0,1,0,1,"M",1,"M","Loss","Loss","arid",-1,-1,1,0,"Low","None","Estuary"
1,"Estuary_10105","H","H","Low","L","L",1,1,1,1,0,0,0,1,0,"H",1,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"Low","Low","Estuary"
1,"Estuary_10108","M","M","Medium","L","L",1,1,1,1,0,0,0,1,0,"H",1,"L","Gain_neutrality","Loss","humid",-1,1,1,1,"Medium","Medium","Estuary"
1,"Estuary_10111","M","L","High","L","L",1,1,1,1,0,0,0,1,0,"H",1,"L","Gain_neutrality","Loss","humid",-1,1,1,1,"Medium","High","Estuary"
1,"Estuary_10124","L","L","High","L","L",1,1,1,1,1,0,0,1,0,"H",1,"L","Loss","Loss","humid",-1,-1,1,1,"High","High","Estuary"
1,"Estuary_1014","M","M","Medium","L","L",1,1,1,1,1,0,1,1,1,"M",1,"H","Loss","Loss","humid",-1,-1,1,1,"Medium","Low","Estuary"
1,"Estuary_10141","L","L","High","L","L",1,1,1,1,0,0,0,1,1,"H",1,"L","Loss","Loss","humid",-1,-1,1,1,"High","High","Estuary"
1,"Estuary_10143","H","H","Low","L","L",1,1,1,1,1,0,1,1,0,"H",1,"L","Gain_neutrality","Loss","arid",-1,1,1,0,"Low","None","Estuary"
1,"Estuary_10146","M","M","Medium","L","L",1,1,0,1,1,0,1,0,1,"H",1,"M","Gain_neutrality","Gain_neutrality","humid",1,1,1,1,"Medium","Medium","Estuary"
1,"Estuary_10147","H","H","Low","L","L",1,1,1,1,1,0,1,1,0,"H",1,"M","Gain_neutrality","Loss","arid",-1,1,1,0,"Low","None","Estuary"
1,"Estuary_1016","L","L","High","L","L",1,1,0,1,1,0,1,1,1,"M",1,"M","Loss","Loss","arid",-1,-1,1,1,"High","High","Estuary"
1,"Estuary_10179","H","H","Low","L","L",1,1,0,1,0,0,1,0,0,"H",1,"L","Loss","Loss","humid",-1,-1,1,1,"Low","Low","Estuary"
1,"Estuary_1019","H","H","Low","L","L",1,1,1,1,0,0,1,1,0,"H",1,"M","Loss","Loss","humid",-1,-1,1,0,"Low","None","Estuary"
1,"Estuary_1021","H","H","Low","L","L",1,0,1,1,0,1,1,0,1,"L",1,"H","Loss","Loss","arid",-1,-1,1,0,"Low","None","Estuary"
1,"Estuary_10216","L","L","High","L","L",1,0,1,1,0,1,1,1,1,"H",1,"H","Loss","Loss","humid",-1,-1,1,1,"High","High","Estuary"
1,"Estuary_10250","H","H","Low","L","L",1,1,0,1,0,1,0,0,0,"H",0,"H","Loss","Loss","humid",-1,-1,1,1,"Low","Low","Estuary"
1,"Estuary_1027","H","H","Low","L","L",1,0,1,1,0,0,1,0,0,"H",1,"M","Loss","Loss","arid",-1,-1,1,0,"Low","None","Estuary"
1,"Estuary_10332","H","H","Low","L","L",0,1,0,1,0,1,1,1,1,"H",0,"L","Gain_neutrality","Gain_neutrality","humid",1,1,1,1,"Low","Low","Estuary"
1,"Estuary_10334","L","L","High","L","L",0,0,1,1,0,1,1,0,1,"M",0,"M","Gain_neutrality","Loss","humid",-1,1,1,1,"High","High","Estuary"
1,"Estuary_1036","H","H","Low","L","L",1,0,0,0,0,0,1,0,1,"M",1,"M","Loss","Loss","arid",-1,-1,1,0,"Low","None","Estuary"
1,"Estuary_1037","H","H","Low","L","L",1,0,0,0,0,1,1,0,1,"M",1,"H","Loss","Loss","humid",-1,-1,1,0,"Low","None","Estuary"
1,"Estuary_1040","H","H","Low","L","L",1,0,1,1,0,0,1,0,0,"H",1,"L","Loss","Loss","arid",-1,-1,1,0,"Low","None","Estuary"
1,"Estuary_10419","L","L","High","L","L",0,1,1,1,0,1,1,1,1,"L",1,"L","Loss","Loss","humid",-1,-1,1,1,"High","Medium","Estuary"
1,"Estuary_10441","L","L","High","L","L",0,1,1,1,0,1,1,0,1,"M",1,"H","Loss","Loss","humid",-1,-1,1,1,"High","High","Estuary"
1,"Estuary_10447","L","L","High","L","L",0,1,1,1,0,1,1,0,1,"M",1,"L","Gain_neutrality","Gain_neutrality","humid",1,1,1,1,"High","High","Estuary"
1,"Estuary_1059","H","H","Low","L","L",1,0,1,1,0,0,1,0,0,"H",1,"M","Loss","Loss","arid",-1,-1,1,0,"Low","None","Estuary"
1,"Estuary_107","H","H","Low","L","L",1,1,1,1,1,0,1,1,1,"H",1,"M","Gain_neutrality","Gain_neutrality","humid",1,1,1,1,"Low","Low","Estuary"
1,"Estuary_1072","H","H","Low","L","L",1,1,1,1,0,0,1,1,1,"H",1,"M","Loss","Loss","humid",-1,-1,1,0,"Low","None","Estuary"
1,"Estuary_1080","M","M","Medium","L","L",1,1,0,1,1,0,1,1,1,"M",1,"M","Loss","Loss","arid",-1,-1,1,1,"Medium","Medium","Estuary"
1,"Estuary_1085","H","H","Low","L","L",1,0,0,1,0,1,1,1,1,"M",1,"H","Loss","Loss","humid",-1,-1,1,0,"Low","None","Estuary"
1,"Estuary_1091","H","H","Low","L","L",1,0,0,1,0,1,1,0,1,"M",1,"M","Loss","Loss","arid",-1,-1,1,0,"Low","None","Estuary"
1,"Estuary_1092","M","M","Medium","L","L",1,1,0,1,1,0,1,1,1,"M",1,"M","Loss","Loss","arid",-1,-1,1,1,"Medium","Medium","Estuary"
1,"Estuary_1095","H","H","Low","L","L",1,0,0,1,0,1,1,0,1,"H",1,"M","Loss","Loss","arid",-1,-1,1,0,"Low","None","Estuary"
1,"Estuary_1102","H","H","Low","L","L",1,0,0,0,0,0,1,0,1,"H",1,"M","Gain_neutrality","Loss","arid",-1,1,1,0,"Low","None","Estuary"
1,"Estuary_1104","M","M","Medium","L","L",1,1,1,1,1,0,1,1,1,"M",1,"H","Loss","Gain_neutrality","humid",1,-1,1,1,"Medium","Low","Estuary"
1,"Estuary_1110","H","H","Low","L","L",1,0,0,1,0,0,1,0,1,"H",1,"H","Loss","Loss","arid",-1,-1,1,0,"Low","None","Estuary"
1,"Estuary_1129","H","H","Low","L","L",1,0,0,1,0,1,1,1,1,"M",1,"H","Loss","Loss","humid",-1,-1,1,0,"Low","None","Estuary"
1,"Estuary_1132","H","H","Low","L","L",1,1,0,1,1,0,1,1,1,"M",1,"H","Loss","Gain_neutrality","humid",1,-1,1,1,"Low","Low","Estuary"
1,"Estuary_1138","M","M","Medium","L","L",1,1,1,1,1,0,1,1,1,"M",1,"H","Loss","Loss","humid",-1,-1,1,1,"Medium","Medium","Estuary"
1,"Estuary_1143","H","H","Low","L","L",1,0,0,1,0,0,1,0,0,"H",1,"H","Loss","Loss","arid",-1,-1,1,0,"Low","None","Estuary"
1,"Estuary_1144","H","H","Low","L","L",1,1,0,1,1,0,1,1,1,"M",1,"M","Loss","Gain_neutrality","humid",1,-1,1,1,"Low","Low","Estuary"
1,"Estuary_1152","M","M","Medium","L","L",1,1,1,1,1,0,1,1,1,"M",1,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"Medium","Medium","Estuary"
1,"Estuary_1159","M","M","Medium","L","L",1,1,0,0,1,0,1,1,1,"M",1,"M","Loss","Loss","arid",-1,-1,1,1,"Medium","Low","Estuary"
1,"Estuary_1167","H","H","Low","L","L",1,0,1,1,0,1,1,1,1,"M",1,"M","Gain_neutrality","Loss","humid",-1,1,1,0,"Low","None","Estuary"
1,"Estuary_1169","H","H","Low","L","L",1,1,0,1,0,0,1,1,1,"H",1,"H","Loss","Loss","humid",-1,-1,1,0,"Low","None","Estuary"
1,"Estuary_1174","H","H","Low","L","L",1,0,1,1,0,0,1,0,0,"H",1,"H","Loss","Loss","humid",-1,-1,1,0,"Low","None","Estuary"
1,"Estuary_1183","H","H","Low","L","L",1,0,0,1,0,0,1,0,0,"H",1,"H","Loss","Loss","humid",-1,-1,1,0,"Low","None","Estuary"
1,"Estuary_1186","H","H","Low","L","L",1,0,0,1,0,0,1,0,0,"H",1,"H","Loss","Loss","humid",-1,-1,1,0,"Low","None","Estuary"
1,"Estuary_1188","M","M","Medium","L","L",1,1,1,1,1,0,1,1,1,"M",1,"H","Gain_neutrality","Gain_neutrality","humid",1,1,1,1,"Medium","Medium","Estuary"
1,"Estuary_12","H","H","Low","L","L",1,1,1,1,0,0,1,1,0,"M",1,"L","Loss","Gain_neutrality","humid",1,-1,1,1,"Low","Low","Estuary"
1,"Estuary_1200","H","H","Low","L","L",1,1,1,1,1,0,1,0,1,"H",1,"L","Gain_neutrality","Loss","humid",-1,1,1,1,"Low","Low","Estuary"
1,"Estuary_1217","M","L","High","L","L",1,1,0,1,1,0,1,1,1,"M",1,"H","Loss","Loss","arid",-1,-1,1,1,"Medium","High","Estuary"
1,"Estuary_1219","H","H","Low","L","L",0,1,1,1,0,0,1,1,1,"H",1,"H","Loss","Loss","humid",-1,-1,1,0,"Low","None","Estuary"
1,"Estuary_1223","H","H","Low","L","L",1,1,1,1,1,0,1,0,1,"H",1,"M","Loss","Loss","humid",-1,-1,1,1,"Low","Low","Estuary"
1,"Estuary_1236","H","H","Low","L","L",1,0,1,1,0,0,1,1,1,"M",1,"H","Gain_neutrality","Loss","humid",-1,1,1,0,"Low","None","Estuary"
1,"Estuary_1243","M","M","Medium","L","L",1,1,1,1,1,0,1,0,1,"H",1,"H","Gain_neutrality","Gain_neutrality","humid",1,1,1,1,"Medium","Medium","Estuary"
1,"Estuary_1244","H","H","Low","L","L",0,1,0,0,0,0,1,1,1,"H",1,"M","Loss","Loss","humid",-1,-1,1,0,"Low","None","Estuary"
1,"Estuary_125","L","L","High","L","L",1,1,1,1,0,0,0,0,0,"H",1,"M","Loss","Loss","humid",-1,-1,1,1,"High","High","Estuary"
1,"Estuary_1251","M","L","High","L","L",1,0,1,1,0,0,1,1,1,"M",1,"H","Loss","Loss","humid",-1,-1,1,1,"Medium","High","Estuary"
1,"Estuary_1253","M","M","Medium","L","L",1,1,1,1,1,0,1,1,1,"M",1,"H","Loss","Loss","arid",-1,-1,1,1,"Medium","Medium","Estuary"
1,"Estuary_1258","H","H","Low","L","L",0,1,0,1,0,0,1,0,1,"H",1,"H","Loss","Loss","humid",-1,-1,1,0,"Low","None","Estuary"
1,"Estuary_1264","M","M","Medium","L","L",1,1,0,1,1,0,1,1,1,"M",1,"H","Loss","Loss","arid",-1,-1,1,1,"Medium","Medium","Estuary"
1,"Estuary_1268","H","H","Low","L","L",1,0,1,1,0,0,1,1,1,"M",1,"H","Loss","Loss","humid",-1,-1,1,0,"Low","None","Estuary"
1,"Estuary_1281","M","M","Medium","L","L",1,1,0,1,1,0,1,1,1,"M",1,"H","Loss","Loss","humid",-1,-1,1,1,"Medium","Low","Estuary"
1,"Estuary_1283","H","H","Low","L","L",0,1,1,1,0,0,1,0,1,"H",1,"H","Loss","Loss","humid",-1,-1,1,0,"Low","None","Estuary"
1,"Estuary_1284","M","M","Medium","L","L",1,0,1,1,0,0,1,1,1,"M",1,"H","Loss","Loss","humid",-1,-1,1,1,"Medium","Medium","Estuary"
1,"Estuary_1288","H","H","Low","L","L",1,0,1,1,0,0,1,1,1,"M",1,"H","Gain_neutrality","Loss","humid",-1,1,1,0,"Low","None","Estuary"
1,"Estuary_1297","H","H","Low","L","L",0,1,0,1,0,0,1,1,1,"H",1,"M","Loss","Loss","humid",-1,-1,1,0,"Low","None","Estuary"
1,"Estuary_130","L","L","High","L","L",1,1,1,1,0,0,0,0,0,"H",1,"L","Loss","Loss","humid",-1,-1,1,1,"High","High","Estuary"
1,"Estuary_1314","H","H","Low","L","L",0,0,1,1,0,0,1,1,1,"M",1,"H","Loss","Loss","humid",-1,-1,1,0,"Low","None","Estuary"
1,"Estuary_1315","H","H","Low","L","L",0,0,0,1,0,0,1,0,1,"M",1,"H","Loss","Loss","humid",-1,-1,1,0,"Low","None","Estuary"
1,"Estuary_1321","H","H","Low","L","L",1,0,1,1,0,0,1,1,1,"M",1,"L","Loss","Loss","humid",-1,-1,1,0,"Low","None","Estuary"
1,"Estuary_1338","H","H","Low","L","L",0,1,0,1,0,0,1,0,1,"H",1,"H","Loss","Loss","humid",-1,-1,1,0,"Low","None","Estuary"
1,"Estuary_1340","H","H","Low","L","L",0,1,0,1,0,0,1,0,1,"H",1,"H","Loss","Loss","humid",-1,-1,1,0,"Low","None","Estuary"
1,"Estuary_1348","H","H","Low","L","L",1,0,1,1,0,0,1,1,1,"M",1,"H","Gain_neutrality","Loss","humid",-1,1,1,0,"Low","None","Estuary"
1,"Estuary_1351","H","H","Low","L","L",0,0,0,1,0,0,1,1,1,"H",1,"H","Loss","Loss","humid",-1,-1,1,0,"Low","None","Estuary"
1,"Estuary_1352","H","H","Low","L","L",0,0,0,1,0,0,1,1,1,"H",1,"H","Loss","Loss","humid",-1,-1,1,0,"Low","None","Estuary"
