"Type","Tidal_Class","future_slr","antecedent_slr","future_drought","future_extreme_rainfall","historical_drought","historical_extreme_rainfall","historical_storms","future_storms"
"Delta_8811","Micro",0.223141759634018,1.66303694248199,0,9.57968235015869,2.09931492805481,1.58084714412689,1,0.120635297977333
"Delta_8812","Micro",0.225402787327766,0.587301075458527,0,13.6184072494507,2.21122884750366,1.68336951732635,1,0.0716554022201389
"Delta_8813","Meso",0.265725195407867,3.69927072525024,0,4.6754732131958,2.40734171867371,1.89647531509399,1,0.0940129735159262
"Delta_8814","Meso",0.26288253068924,3.71325278282166,4.51813077926636,0,2.72157979011536,1.75010001659393,4,0.5714988158728
"Delta_8815","Micro",0.255837768316269,-0.108243525028229,17.9043922424316,0,1.78406465053558,0.748483061790466,5,0.377452469713948
"Delta_8816","Macro",0.21098966896534,2.99426817893982,0,18.4281730651855,2.0773503780365,2.03142929077148,5,0.27421007055029
"Delta_8817","Meso",0.223511248826981,4.52543830871582,0,27.5203990936279,2.27594590187073,2.16877388954163,0,0
"Delta_8818","Meso",0.21499302983284,4.6377911567688,0,25.4630393981934,1.35712587833405,1.85938191413879,0,0
"Delta_8819","Micro",0.245109125971794,5,28.2947788238525,0,2.23336291313171,1.11532473564148,0,0
"Delta_8820","Meso",0.233780741691589,2.85164594650269,0,35.8491172790527,2.01063537597656,2.5483922958374,1,0
"Delta_8821","Meso",0.253704488277435,1.38806760311127,21.1990089416504,0,1.86250162124634,2.44899582862854,14,0.9785588371087
"Delta_8822","Micro",0.258987009525299,-0.175675302743912,12.019775390625,0,1.91873204708099,1.33848810195923,1,0.402609318020345
"Delta_8823","Micro",0.21953184902668,2.56349539756775,0.878656268119812,0,1.60965669155121,2.16137146949768,0,0.00134912286551514
"Delta_8824","Micro",0.234637886285782,1.56554293632507,0,1.38090002536774,1.81139862537384,2.45523285865784,0,0.047479635882555
"Delta_8825","Micro",0.256942719221115,2.39266586303711,0,20.8658485412598,1.27219498157501,1.89679574966431,0,0
"Delta_8826","Micro",0.262168049812317,5,18.0795593261719,0,1.56032693386078,1.33640003204346,1,0.324043481989621
"Delta_8827","Micro",0.264982759952545,5,70.9357299804688,0,2.04068994522095,2.18476939201355,7,0.999639526857433
"Delta_8828","Micro",0.234874993562698,2.45451188087463,0,34.6896858215332,1.91479659080505,1.76904106140137,0,0
"Delta_8830","Micro",0.266889274120331,1.42987608909607,0,10.1617488861084,1.76298999786377,1.99072432518005,0,0
"Delta_8831","Meso",0.265793591737747,3.5016815662384,0,7.06827831268311,2.41837692260742,2.42508459091187,0,0.0147443075449964
"Delta_8832","Micro",0.221374601125717,1.07943892478943,0,29.3378314971924,2.10876417160034,1.92910695075989,1,0.0134126145306417
"Delta_8834","Meso",0.257575631141663,2.69334363937378,22.9482307434082,0,1.56884860992432,1.26779687404633,17,0.974012186741342
"Delta_8835","Meso",0.223014205694199,1.22101891040802,0,3.89648866653442,1.70559203624725,1.85234725475311,11,0.41320396163491
"Delta_8836","Micro",0.217660576105118,0.684894263744354,0,25.4082679748535,2.57899165153503,0.907740890979767,6,0.743537251455452
"Estuary_10","Micro",0.204071432352066,3.95588612556458,14.959361076355,0,1.83994543552399,1.31316423416138,0,0.117049853372406
"Estuary_1002","Macro",0.244070962071419,1.94846034049988,0,10.4064388275146,1.59642684459686,2.07213854789734,31,0.828172903952659
"Estuary_10040","Micro",0.248980328440666,0.659716784954071,5.95524930953979,0,2.69223070144653,2.59389805793762,17,0.999184128799577
"Estuary_1005","Meso",0.242683887481689,1.6182701587677,0,7.65647411346436,0.470592677593231,2.95452833175659,48,0.993118375398365
"Estuary_10082","Micro",0.204071432352066,4.01678657531738,14.9593601226807,0,1.920334815979,1.03144609928131,0,0.123017800855367
"Estuary_10089","Micro",0.236772373318672,4.06694889068604,0,0.880842685699463,2.17047929763794,0.828710913658142,0,0.507625366745414
"Estuary_10099","Micro",0.236772373318672,4.01570653915405,0,2.33501219749451,2.23817086219788,0.849044144153595,0,0.515076702169064
"Estuary_101","Micro",0.257263600826263,4.07544803619385,7.89191389083862,0,1.82923746109009,1.20715415477753,0,0.0305902205260095
"Estuary_1010","Meso",0.244070962071419,1.62905085086823,0,4.90683698654175,0.591751873493195,2.64695835113525,35,0.948826625705989
"Estuary_10105","Micro",0.236772373318672,4.16488122940063,0,2.33501195907593,2.23817086219788,0.849044144153595,0,0.515076702169064
"Estuary_10108","Micro",0.236772373318672,4.36099338531494,0,2.84544229507446,1.95756363868713,0.911154091358185,0,0.521756320999107
"Estuary_10111","Micro",0.236772373318672,4.37633657455444,0,2.84544229507446,1.95756387710571,0.911154091358185,0,0.526379241879546
"Estuary_10124","Micro",0.259195029735565,5,10.6818838119507,0,2.1163158416748,1.60023462772369,0,0.574473435457285
"Estuary_1014","Meso",0.247603058815002,2.71499872207642,14.7764921188354,0,1.98434364795685,2.18193078041077,16,0.998986440658348
"Estuary_10141","Micro",0.252357572317123,4.06963777542114,6.04772615432739,0,2.05966305732727,1.88376009464264,0,0.787200932006507
"Estuary_10143","Micro",0.245093747973442,3.40964603424072,34.7657775878906,0,1.91347754001617,1.05544459819794,4,0.929168849259477
"Estuary_10146","Micro",0.259979546070099,3.30734372138977,6.49849224090576,0,1.41268599033356,1.99774932861328,2,0.871395766496948
"Estuary_10147","Micro",0.244413524866104,3.1808545589447,31.4073066711426,0,1.82516467571259,1.0638735294342,6,0.95204152962672
"Estuary_1016","Meso",0.260831773281097,3.27711224555969,20.6169300079346,0,1.86651968955994,1.44849324226379,13,0.955669971654532
"Estuary_10179","Micro",0.239934727549553,3.05402207374573,0,6.31388425827026,0.221906289458275,0.495199590921402,4,0.747153681607429
"Estuary_1019","Micro",0.237156003713608,2.67064428329468,0,0.177430659532547,1.42697191238403,1.92669367790222,22,0.998313360388921
"Estuary_1021","Macro",0.244069889187813,1.57866549491882,0,10.3990640640259,1.62206542491913,2.07707357406616,34,0.854908695139165
"Estuary_10216","Micro",0.243362933397293,0.381385147571564,0,6.55613279342651,1.9655944108963,1.90632295608521,3,0.286990165536336
"Estuary_10250","Micro",0.286511361598969,3.23549032211304,0,23.9814128875732,0.771528422832489,1.62141525745392,0,0.00404211236299601
"Estuary_1027","Micro",0.239574283361435,1.52372705936432,1.35651195049286,0,0.59180873632431,1.16369557380676,23,0.867210555310861
"Estuary_1031","Meso",0.245833039283752,1.19076526165009,0,7.58213996887207,0.423544049263,2.98718571662903,45,0.987194128171202
"Estuary_10314","Micro",0.216768428683281,2.0158257484436,0,17.5817584991455,1.69431507587433,1.59427237510681,1,0
"Estuary_10332","Micro",0.233599036931992,2.56594276428223,0,42.1605949401855,1.74880993366241,2.32403230667114,1,0
"Estuary_10334","Meso",0.216768428683281,1.36402535438538,0,24.9612655639648,1.59244167804718,1.84519290924072,1,0.00538598337194518
"Estuary_1036","Meso",0.244070962071419,1.2965441942215,0,4.8985538482666,0.58070695400238,2.63674640655518,38,0.961451882031879
"Estuary_1037","Meso",0.245833039283752,1.19076526165009,0,7.65647411346436,0.424250334501266,3.03318977355957,45,0.9899650154349
"Estuary_1040","Micro",0.239574283361435,1.48200702667236,1.35651195049286,0,0.59180873632431,1.16369557380676,23,0.874907788452318
"Estuary_10419","Macro",0.21098966896534,2.71711683273315,0,21.4768466949463,2.22418665885925,2.04899930953979,5,0.32126035786644
"Estuary_10441","Meso",0.203626066446304,3.98092532157898,0,9.40809726715088,1.66499328613281,1.80289244651794,60,0.93779489181196
"Estuary_10447","Meso",0.203626066446304,3.27347373962402,0,9.40809631347656,1.50995802879333,1.95752799510956,56,0.937140070736108
"Estuary_1059","Micro",0.239574283361435,1.48200702667236,1.35651206970215,0,0.59180873632431,1.16369557380676,25,0.87581654237364
"Estuary_107","Micro",0.260008275508881,2.91925573348999,10.3047552108765,0,1.99223458766937,1.63974106311798,8,0.999944789379659
"Estuary_1072","Micro",0.247228190302849,2.63334083557129,0,3.88443470001221,1.27623081207275,1.7965282201767,22,0.984640513154668
"Estuary_1077","Meso",0.244069889187813,1.25039255619049,0,10.3990640640259,2.04621887207031,2.15799641609192,34,0.890807571911237
"Estuary_1080","Meso",0.260831773281097,3.11031222343445,20.6169300079346,0,1.94628536701202,1.4416675567627,11,0.938350934421744
"Estuary_1085","Meso",0.244069889187813,1.25039255619049,0,10.3990631103516,2.05789136886597,2.15681505203247,34,0.888708241581637
"Estuary_1087","Meso",0.247603058815002,3.03767132759094,15.7015562057495,0,1.38484418392181,2.53691387176514,14,0.998721114553532
"Estuary_1091","Meso",0.246414229273796,1.09119236469269,0,7.38198757171631,0.433777272701263,3.04529309272766,44,0.986269521638976
"Estuary_1092","Meso",0.261900663375854,3.15807628631592,18.5709037780762,0,1.95249032974243,1.50010645389557,12,0.933368497709351
"Estuary_1095","Micro",0.246414229273796,1.00013828277588,0,7.18517971038818,0.511573731899261,2.9271514415741,44,0.98296044755403
"Estuary_1102","Micro",0.247495263814926,1.12225031852722,0,1.90368974208832,0.657929658889771,2.77382755279541,42,0.973891431285832
"Estuary_1104","Meso",0.247603058815002,2.92895483970642,14.7896127700806,0,1.7206221818924,2.5106246471405,14,0.998400531975166
"Estuary_1108","Meso",0.244069889187813,1.02502346038818,0,9.89877986907959,2.15557503700256,2.17866086959839,35,0.888218290066649
"Estuary_1110","Micro",0.246414229273796,1.01049947738647,0.41865462064743,0,0.692354202270508,2.95334339141846,43,0.98128061897279
"Estuary_1129","Meso",0.244069889187813,1.02502346038818,0,9.14365863800049,2.30301690101624,2.21163439750671,35,0.89223855984592
"Estuary_1132","Meso",0.247603058815002,2.89772987365723,15.71653175354,0,1.99936699867249,2.49086093902588,13,0.997923724556395
"Estuary_1138","Meso",0.247603058815002,2.88661336898804,13.9119205474854,0,1.71639060974121,2.5424382686615,13,0.998336284408364
"Estuary_1143","Micro",0.239574283361435,0.909102261066437,0,0.60591048002243,0.889178037643433,1.37256991863251,22,0.870078083049946
"Estuary_1144","Meso",0.247603058815002,2.89772987365723,13.9119205474854,0,1.71639060974121,2.5424382686615,13,0.997852090080354
"Estuary_1152","Meso",0.251265674829483,2.86136269569397,13.9119205474854,0,1.68250107765198,2.35241794586182,14,0.998197179944332
"Estuary_1159","Meso",0.261900663375854,3.07076740264893,18.1785087585449,0,1.95687580108643,1.50570118427277,10,0.919037621331093
"Estuary_1167","Meso",0.244069889187813,0.95254373550415,0,10.4723701477051,2.29312634468079,2.05973339080811,32,0.868747403538121
"Estuary_1169","Micro",0.234708473086357,2.36772036552429,0,2.74721074104309,1.58386778831482,1.85517561435699,22,0.979759979422299
"Estuary_1170","Meso",0.251265674829483,2.86136269569397,13.9119205474854,0,1.75586187839508,2.32403206825256,15,0.997762984540671
"Estuary_1174","Micro",0.239574283361435,0.913016617298126,0,0.609325289726257,1.1544371843338,1.43435144424438,22,0.86368903049279
"Estuary_1180","Meso",0.251265674829483,2.79662704467773,13.9119205474854,0,1.75586187839508,2.32403230667114,14,0.99725213083875
"Estuary_1183","Micro",0.242927595973015,0.913016617298126,0,0.65352338552475,0.770645081996918,1.01887464523315,23,0.873071031026614
"Estuary_1186","Micro",0.242927595973015,0.971462070941925,0,0.65352338552475,0.770645022392273,1.01887464523315,25,0.877436303520094
"Estuary_1188","Meso",0.251265674829483,2.8262357711792,14.4765472412109,0,1.82401382923126,2.28024649620056,15,0.996527270305905
"Estuary_1196","Meso",0.251265674829483,2.8262357711792,16.3212203979492,0,2.04667139053345,2.1371967792511,15,0.996263674266793
"Estuary_12","Meso",0.258207768201828,3.95933508872986,4.71453666687012,0,1.70354199409485,1.19400334358215,6,0.999857545512796
"Estuary_1200","Micro",0.258465439081192,2.7831015586853,19.4344062805176,0,1.50485336780548,1.9002001285553,17,0.9979621370698
"Estuary_1206","Meso",0.251265674829483,2.8262357711792,16.5316429138184,0,2.05531454086304,2.12246203422546,15,0.99587982405296
"Estuary_1207","Meso",0.246038347482681,1.12139523029327,0,4.42583084106445,2.21866011619568,2.02887773513794,31,0.872700575969168
"Estuary_1217","Meso",0.263288229703903,3.03591704368591,15.8205013275146,0,1.99780750274658,1.51139450073242,6,0.888708241581637
"Estuary_1219","Micro",0.220477342605591,2.31775140762329,0,1.36243069171906,1.64902365207672,2.1517813205719,19,0.990512365255752
"Estuary_1223","Micro",0.258465439081192,2.85978722572327,19.4344062805176,0,1.50485336780548,1.9002001285553,18,0.996925568793171
"Estuary_1227","Meso",0.246038347482681,1.23458659648895,0,4.42583084106445,2.21866011619568,2.02887773513794,31,0.877615016012345
"Estuary_1236","Meso",0.246038347482681,1.23458659648895,0,4.42583131790161,2.35021328926086,1.98100030422211,30,0.863292243949178
"Estuary_1240","Micro",0.206513449549675,2.11329507827759,0,1.70589327812195,1.68159711360931,1.92357838153839,23,0.973320725133872
"Estuary_1243","Micro",0.258465439081192,2.85978722572327,19.4344062805176,0,1.50485336780548,1.90020024776459,16,0.99545064889489
"Estuary_1244","Micro",0.181242272257805,2.39276099205017,0,1.36243057250977,1.76164627075195,2.21196866035461,22,0.984592032233283
"Estuary_125","Micro",0.239624097943306,3.71735024452209,0.510489523410797,0,1.78519523143768,1.15986800193787,0,0.664573323386979
"Estuary_1251","Meso",0.246038347482681,1.22159397602081,0,4.42168712615967,2.34418106079102,1.97453367710114,29,0.840363786160213
"Estuary_1253","Meso",0.256032437086105,2.95068407058716,14.1096200942993,0,2.03014349937439,1.63223969936371,6,0.856997973614614
"Estuary_1258","Micro",0.206513449549675,2.08318686485291,0,1.36911189556122,1.5950071811676,1.90785813331604,20,0.9638983668194
"Estuary_1264","Meso",0.256032437086105,2.95068407058716,14.1096210479736,0,2.50620079040527,1.87665891647339,6,0.848023618399086
"Estuary_1268","Meso",0.239370033144951,1.15395092964172,0,3.59771394729614,2.13260054588318,2.04725098609924,25,0.720769876079647
"Estuary_1281","Meso",0.256032437086105,3.03460907936096,14.1096200942993,0,2.50620079040527,1.87665891647339,5,0.834256786566229
"Estuary_1283","Micro",0.206513449549675,2.09537935256958,0,1.36911189556122,1.55587494373322,2.02468085289001,21,0.958595306803705
"Estuary_1284","Meso",0.246038347482681,1.23941230773926,0,4.31702661514282,2.32276010513306,1.98198306560516,29,0.838508171226181
"Estuary_1288","Meso",0.239370033144951,1.1858366727829,0,3.59771418571472,2.13299036026001,2.04628348350525,24,0.698624979338742
"Estuary_1293","Meso",0.239370033144951,1.1858366727829,0,3.59771418571472,2.1291561126709,2.03289198875427,24,0.688248653678292
"Estuary_1297","Micro",0.181242272257805,2.2959623336792,0,1.36243069171906,1.81913363933563,2.24269080162048,19,0.972947519276313
"Estuary_130","Micro",0.239624097943306,3.15230846405029,1.88038647174835,0,1.77255630493164,1.2065863609314,0,0.668791270138668
"Estuary_1308","Meso",0.246038347482681,1.22700548171997,0,4.27656555175781,2.36159586906433,1.98410606384277,27,0.815088037492844
"Estuary_1310","Meso",0.231238275766373,1.33213317394257,0,1.53792107105255,2.10106372833252,2.10067772865295,21,0.721559198000324
"Estuary_1314","Meso",0.231238275766373,1.35497486591339,0,1.53792107105255,2.10143423080444,2.10311388969421,21,0.704523394416438
"Estuary_1315","Meso",0.229656189680099,1.2098833322525,0,0.737338721752167,1.94085013866425,1.80852890014648,21,0.761813585371856
"Estuary_1321","Meso",0.239370033144951,1.29133450984955,0,3.59771418571472,1.91301238536835,2.04153227806091,23,0.649645283931686
"Estuary_1331","Micro",0.231238275766373,1.34346532821655,0,1.25632727146149,2.12556052207947,2.18943572044373,19,0.676164051983518
"Estuary_1338","Micro",0.181242272257805,2.50022339820862,0.31915670633316,0,1.60432648658752,2.00834107398987,19,0.964608082381666
"Estuary_1340","Micro",0.206513449549675,2.27799439430237,0,1.31067764759064,1.58378088474274,1.98634338378906,20,0.955602755922713
"Estuary_1348","Meso",0.239370033144951,1.29133450984955,0,1.3573225736618,1.93680775165558,2.10236120223999,24,0.653071043768774
"Estuary_1351","Micro",0.231238275766373,1.32303476333618,0.988207697868347,0,2.22487139701843,2.15231227874756,25,0.65355779705721
"Estuary_1352","Micro",0.231238275766373,1.27309131622314,0.988207638263702,0,2.1832537651062,2.13555645942688,25,0.616239735026868
"Estuary_1356","Micro",0.16865773499012,2.27799439430237,0.319030076265335,0,1.45426177978516,2.20463085174561,17,0.942544043018438
"Estuary_1367","Meso",0.256032437086105,3.11809515953064,10.3475875854492,0,2.71724033355713,1.80074143409729,6,0.760453459364705
"Estuary_1373","Micro",0.16865773499012,2.63249492645264,0.31915670633316,0,1.45426177978516,2.20463085174561,17,0.934844197399386
"Estuary_1382","Micro",0.16865773499012,2.63249492645264,0.31915670633316,0,1.45426177978516,2.20463085174561,17,0.929589534573864
"Estuary_1402","Micro",0.16865773499012,2.47451233863831,0.31915670633316,0,1.09133803844452,2.53802251815796,17,0.92392799779245
"Estuary_141","Micro",0.239624097943306,2.86211538314819,1.88038647174835,0,1.81054401397705,1.21252584457397,0,0.696918998119463
"Estuary_1419","Micro",0.246082305908203,1.00197958946228,0,1.61430680751801,2.09903120994568,1.91503214836121,26,0.860483430837254
"Estuary_1425","Micro",0.242601320147514,0.896237194538116,0,1.51485455036163,1.99802899360657,1.99041736125946,25,0.839901816731045
"Estuary_1426","Micro",0.246082305908203,1.00197958946228,0,1.61430680751801,1.91315305233002,1.88045954704285,26,0.870832628518351
"Estuary_1432","Meso",0.256032437086105,2.96245694160461,10.3475875854492,0,2.67660927772522,1.70667123794556,4,0.715183979998111
"Estuary_1440","Micro",0.242601320147514,1.04491424560547,0,1.50820159912109,1.97213292121887,1.99613678455353,25,0.820329831167592
"Estuary_1441","Meso",0.256032437086105,3.32409501075745,10.3475875854492,0,2.67660927772522,1.70667123794556,5,0.709490558305568
"Estuary_145","Micro",0.259195029735565,5,21.8589935302734,0,2.18042540550232,1.43251061439514,0,0.542540953404423
"Estuary_1462","Meso",0.156861752271652,1.55395710468292,0.963665902614594,0,0.887765645980835,2.22124195098877,15,0.890487098684637
"Estuary_147","Micro",0.259517431259155,2.1922435760498,1.88038647174835,0,1.84695637226105,1.12922465801239,0,0.74571304173287
"Estuary_1478","Meso",0.156861752271652,1.55395710468292,1.46164274215698,0,0.583933770656586,2.15255737304688,15,0.879740088693655
"Estuary_151","Micro",0.259517431259155,2.1922435760498,1.88038647174835,0,1.84695637226105,1.12922465801239,0,0.759770594746692
"Estuary_154","Micro",0.259517431259155,2.11716055870056,2.78709602355957,0,1.86553859710693,1.24627101421356,0,0.782279358394387
"Estuary_1554","Meso",0.26288253068924,3.17510390281677,4.51813077926636,0,2.71619987487793,1.78089916706085,3,0.51237977741842
"Estuary_1559","Micro",0.235315635800362,2.76223087310791,0,5.76729393005371,0.116983316838741,1.89187276363373,4,0.813486992498533
"Estuary_156","Micro",0.259517431259155,2.22424602508545,3.80153751373291,0,1.87981355190277,1.22902083396912,1,0.81641212427145
"Estuary_1572","Micro",0.235315635800362,2.76223087310791,0,5.76729345321655,0.12689208984375,1.89092183113098,4,0.809699139434427
"Estuary_1574","Meso",0.26288253068924,3.17510390281677,5.55206346511841,0,2.63483929634094,1.73728799819946,2,0.45153479700365
